Row,Column,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],Compound,Concentration,Cell Type,Cell Count,Nuclei Border - Nuclei,Nuclei Border - Nucleus Area [µm²],Nuclei Border - Nucleus Roundness,Nuclei Border - Nucleus Width [µm],Nuclei Border - Nucleus Length [µm],Nuclei Border - Nucleus Ratio Width to Length,Unnamed: 20,Group
2,2,0,4,12,162,866,"[117,818,202,897]",-684.82,966.93,,,,,1,46.0396,0.706275,3.92311,11.9844,0.327352,,Ad
2,2,0,4,13,54,858,"[1,803,118,896]",-702.97,968.73,,,,,1,54.2657,0.790857,4.24786,14.2768,0.297535,,Ad
2,2,0,4,14,195,912,"[155,877,252,1000]",-676.11,954.78,,,,,1,29.886,0.989863,5.17698,7.16104,0.722938,,Ad
2,2,0,4,15,42,938,"[11,897,71,967]",-705.68,952.73,,,,,1,29.4879,0.905809,4.43131,6.7999,0.651673,,Ad
2,2,0,4,16,128,983,"[60,914,164,1078]",-691.57,942.61,,,,,1,84.8482,0.610899,4.56406,22.6606,0.20141,,Ad
2,2,0,4,17,837,995,"[800,918,881,1078]",-560.1,939.13,,,,,1,49.5225,0.821184,5.07343,12.0148,0.422266,,Ad
2,2,0,4,18,553,1051,"[487,1023,594,1078]",-613.15,930.9,,,,,1,26.4695,0.933203,4.66469,6.83639,0.682333,,Ad
2,2,0,5,1,864,151,"[794,1,970,299]",-350.16,1099.38,,,,,1,24.8773,0.982756,4.9005,5.70434,0.859082,,Ad
2,2,0,5,2,256,88,"[129,1,381,162]",-465.09,1107.85,,,,,1,56.0901,0.696902,4.63616,15.2519,0.303973,,Ad
2,2,0,5,3,662,102,"[588,1,767,146]",-384.83,1111.06,,,,,1,42.8885,0.671444,4.02329,10.7346,0.374796,,Ad
2,2,0,5,4,600,123,"[515,30,666,172]",-401.25,1105.5,,,,,1,52.2092,0.84044,4.95435,12.5785,0.393873,,Ad
2,2,0,5,5,222,237,"[180,118,367,286]",-459.73,1083.61,,,,,1,86.5731,0.673102,5.41499,17.1053,0.316568,,Ad
2,2,0,5,6,353,235,"[303,179,408,303]",-444.24,1079.8,,,,,1,30.6157,0.95801,4.9005,7.18647,0.681907,,Ad
2,2,0,5,7,120,356,"[22,252,232,487]",-483.49,1056.9,,,,,1,56.6539,0.71523,4.37102,15.6692,0.278957,,Ad
2,2,0,5,8,458,378,"[417,287,558,410]",-419.05,1059.66,,,,,1,44.1158,0.961534,5.68979,8.89624,0.639572,,Ad
2,2,0,5,9,942,378,"[912,252,986,411]",-336.28,1061.6,,,,,1,27.5309,0.978609,5.06034,6.3744,0.793854,,Ad
2,2,0,5,10,662,411,"[601,366,830,611]",-376.99,1038.79,,,,,1,33.3688,0.840676,4.60746,8.75151,0.526475,,Ad
2,2,0,5,11,323,411,"[292,383,340,428]",-450.21,1049.09,,,,,1,19.7028,0.984788,4.38617,5.28478,0.829962,,Ad
2,2,0,5,12,418,410,"[288,369,489,494]",-437.22,1044.67,,,,,1,62.3923,0.59752,4.66469,16.1107,0.289541,,Ad
2,2,0,5,13,399,468,"[371,434,441,530]",-435.42,1036.67,,,,,1,31.3123,0.917754,4.63616,7.78041,0.595876,,Ad
2,2,0,5,14,563,663,"[493,629,610,705]",-406.85,1002.4,,,,,1,62.1933,0.771506,5.07343,14.7173,0.344726,,Ad
2,2,0,5,15,860,677,"[814,590,959,783]",-347.69,1001.99,,,,,1,61.7289,0.742973,4.37102,15.4935,0.282119,,Ad
